M,N,K,avg_duration,tile_M,tile_N,tile_K,is_split_k,cta_count,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,tensor_all_ops,tensor_all_cycle,tensor_sm_max_ops,tensor_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
12,16384,8192,328.425,16,16,128,1,1024,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4294967296.0,29537.352112676057,33554432.0,32768.0,262400.0,652980.8044433594,99092.8821159698,4096.0,1447387.6953125,32768.0,219647.8323585204,0.0359027422663098,0.33876505,8.435629
8,34816,5120,436.7226,16,16,128,1,2176,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,5704253440.0,39229.295774647886,41943040.0,40960.0,348320.0,866792.2019958496,131539.75876004042,5120.0,1809234.619140625,40960.0,274559.7904481505,0.0358589125335613,0.33400694,8.314472
2,8192,29568,165.3662,8,128,64,1,128,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,3875536896.0,7168.0,30277632.0,7392.0,473550.0,246531.00680649484,93701.90756661553,3927.0,269861.2581823289,31416.0,102569.3075997489,0.0236864600547777,0.21949525,8.266694
21,129280,7168,662.7782,24,512,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,44568674304.0,82432.0,352321536.0,86016.0,1813840.0,944288.4624345744,358906.70049758186,15008.0,1031341.4216451218,120064.0,391993.9313616072,0.0679636245476532,0.6297313,8.265711
18,129280,7168,662.2208,24,512,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,44568674304.0,82432.0,352321536.0,86016.0,1813840.0,944288.4624345744,358906.70049758186,15008.0,1031341.4216451218,120064.0,391993.9313616072,0.0680208304287171,0.6297313,8.257918
19,129280,7168,662.2084,24,512,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,44568674304.0,82432.0,352321536.0,86016.0,1813840.0,944288.4624345744,358906.70049758186,15008.0,1031341.4216451218,120064.0,391993.9313616072,0.0680221041339394,0.6297313,8.257744
20,152064,8192,855.3017999999998,24,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,59793997824.0,110592.0,452984832.0,110592.0,2433408.0,1266836.7104022363,481501.36519451527,19584.0,1345801.5992469392,156672.0,511514.4690688776,0.0706566815190216,0.6515596,8.221485
8,152064,3584,371.617,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.023715585546674,0.2186209,8.218445
7,151936,4096,420.3336000000001,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,9965666304.0,18432.0,75497472.0,18432.0,1216576.0,633351.7181641184,240725.35508343964,9408.0,646512.5329715689,75264.0,245727.53906250003,0.0239622317786181,0.22087516,8.217634
18,152064,8192,853.4843999999999,24,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,59793997824.0,110592.0,452984832.0,110592.0,2433408.0,1266836.7104022363,481501.36519451527,19584.0,1345801.5992469392,156672.0,511514.4690688776,0.0708071370551657,0.6515596,8.20189
20,128256,8192,720.9766000000001,24,512,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,50532974592.0,93463.27272727272,402653184.0,98304.0,2056576.0,1070657.273474974,406937.1645142432,17152.0,1178675.9104515675,137216.0,447993.0644132654,0.0708383970116713,0.6518019,8.20125
17,128256,8192,719.0758,24,512,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,50532974592.0,93463.27272727272,402653184.0,98304.0,2056576.0,1070657.273474974,406937.1645142432,17152.0,1178675.9104515675,137216.0,447993.0644132654,0.0710256507407494,0.6518019,8.176992
7,152064,3584,369.7292,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0238366749342447,0.2186209,8.171616
14,18432,7168,315.1082,16,16,128,1,1152,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4227858432.0,29075.83098591549,33030144.0,32256.0,258272.0,642708.3015441896,97533.98189731612,4032.0,1424772.2625732422,32256.0,216215.83497791848,0.0368353415050769,0.337774,8.169832
6,152064,3584,369.305,8,384,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.023864054789668,0.2186209,8.161093
16,14336,8192,288.7658,16,16,128,1,896,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,3758096384.0,25845.183098591548,29360128.0,28672.0,229632.0,571437.8356933594,86718.3563492926,3584.0,1266464.2333984375,28672.0,192191.85331370533,0.03572943320404,0.3269896,8.151824
4,152064,3584,368.5832,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0239107879960301,0.2186209,8.1431875
8,18432,7168,313.6748,16,16,128,1,1152,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4227858432.0,29075.83098591549,33030144.0,32256.0,258272.0,642708.3015441896,97533.98189731612,4032.0,1424772.2625732422,32256.0,216215.83497791848,0.0370036679964412,0.337774,8.12812
3,152064,3584,367.444,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0239849194818757,0.2186209,8.114928
5,53248,16384,2445.2145,16,16,128,1,3328,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,27917287424.0,588079.0239298955,310378496.0,601508.7131782946,1704448.0,4740480.766893956,1021249.1819371728,37888.0,9694560.847405843,303104.0,2088514.397905759,0.0954373090931993,0.8614797,8.026655
4,151936,3584,362.8088,8,384,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0242913478231464,0.2186209,7.999946
6,151936,3584,362.5736,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0243071055203643,0.2186209,7.994112
7,151936,3584,362.1318,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0243367601356698,0.2186209,7.9831524
3,151936,3584,361.1786,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0244009881928175,0.2186209,7.9595065
8,4608,16384,181.9104,16,16,128,1,288,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,2415919104.0,16614.76056338028,25165824.0,24576.0,147968.0,368217.4682617188,55878.71791515176,3072.0,1085540.771484375,24576.0,164735.87426889027,0.0364610211810715,0.32609388,7.9436274
2,151936,3584,359.9438,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,8719958016.0,16128.0,66060288.0,16128.0,1064504.0,554182.7533936036,210634.6856980097,8232.0,565698.4663501228,65856.0,215011.5966796875,0.0244846966501391,0.2186209,7.9288764
14,8192,14784,288.4082,16,16,128,1,512,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,3892314112.0,26768.22535211268,30408704.0,29696.0,238032.0,592341.1846160889,89890.53702678553,3712.0,1311695.0988769534,29696.0,199055.8480749091,0.0370513678329416,0.33067,7.924634
5,2560,8192,631.2006000000001,64,128,64,1,60,NVIDIA A40,1024,16,128,84,1740,696.096,2430,128,2684354560.0,31207.61904761905,45088768.0,44032.0,41984.0,100083.85158081644,28669.94598765433,1032.0,206651.7941558169,8256.0,59197.31987847223,0.0284147595007958,0.252629,7.8907647
16,27648,5120,338.9298,16,16,128,1,1728,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4529848320.0,31152.676056338027,34078720.0,33280.0,276640.0,688416.9578552246,104470.483645434,4160.0,1470003.1280517578,33280.0,223079.82973912227,0.036692548210521,0.32592475,7.882584
14,9216,16384,356.8878,16,16,128,1,576,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4831838208.0,33229.52112676056,41943040.0,40960.0,295424.0,735160.8276367188,111564.08386519918,5120.0,1809234.619140625,40960.0,274559.7904481505,0.0371693229494378,0.32974887,7.87153
10,27648,5120,337.5086,16,16,128,1,1728,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4529848320.0,31152.676056338027,34078720.0,33280.0,276640.0,688416.9578552246,104470.483645434,4160.0,1470003.1280517578,33280.0,223079.82973912227,0.0368470552349843,0.32592475,7.8453383
2,8192,14784,285.6374,16,16,128,1,512,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,3892314112.0,26768.22535211268,30408704.0,29696.0,238032.0,592341.1846160889,89890.53702678553,3712.0,1311695.0988769534,29696.0,199055.8480749091,0.0374107813060775,0.33067,7.8388934
5,8192,29568,725.2819,16,16,128,1,8192,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,7751073792.0,163276.74823053592,88473600.0,171460.46511627908,474012.0,1318341.6386284225,284012.4000429483,10800.0,2763441.119931987,86400.0,595332.4402814136,0.0893340374397083,0.78915197,7.8337197
4,5120,27648,338.5586,16,16,128,1,5120,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4529848320.0,31152.676056338027,33947648.0,33152.0,277344.0,690168.8575744629,104736.34259745249,4144.0,1464349.2698669434,33152.0,222221.83039397185,0.0367327783919305,0.32397562,7.8197937
6,9216,16384,354.091,16,16,128,1,576,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4831838208.0,33229.52112676056,41943040.0,40960.0,295424.0,735160.8276367188,111564.08386519918,5120.0,1809234.619140625,40960.0,274559.7904481505,0.0374629061312329,0.32974887,7.802008
6,16384,26624,1278.2111,16,16,128,1,1024,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,13958643712.0,294039.51196494774,163577856.0,317011.3488372093,852800.0,2371842.3782991124,510969.7112238221,19968.0,5109295.581740918,159744.0,1100703.5340314135,0.0912856616703112,0.80314136,7.7981105
4,27648,5120,335.691,16,16,128,1,1728,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4529848320.0,31152.676056338027,34078720.0,33280.0,276640.0,688416.9578552246,104470.483645434,4160.0,1470003.1280517578,33280.0,223079.82973912227,0.037046563734155,0.32592475,7.7977037
2,21504,7168,363.0126,16,16,128,1,1344,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4932501504.0,33921.80281690141,36700160.0,35840.0,301280.0,749733.4480285645,113775.54696607996,4480.0,1583080.2917480469,35840.0,240239.8166421317,0.0373034926365047,0.32767215,7.7839518
16,8192,14336,276.65160000000003,16,16,128,1,512,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,3758096384.0,25845.183098591548,29360128.0,28672.0,229824.0,571915.6265258789,86790.86333620672,3584.0,1266464.2333984375,28672.0,192191.85331370533,0.0372939768384176,0.3269896,7.7678905
2,5120,27648,336.5166,16,16,128,1,5120,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4529848320.0,31152.676056338027,33947648.0,33152.0,277344.0,690168.8575744629,104736.34259745249,4144.0,1464349.2698669434,33152.0,222221.83039397185,0.0369556747764664,0.32397562,7.7665977
19,129280,7168,625.8217999999999,24,512,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,44568674304.0,82432.0,352321536.0,86016.0,1813840.0,944288.4624345744,358906.70049758186,15008.0,1031341.4216451218,120064.0,391993.9313616072,0.0719770528018829,0.6297313,7.7490563
16,16384,6656,261.35200000000003,16,16,128,1,1024,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,3489660928.0,23999.098591549297,27262976.0,26624.0,213200.0,530546.9036102295,80512.96671922547,3328.0,1176002.5024414062,26624.0,178463.8637912978,0.0366573757983883,0.31927606,7.7097344
7,128256,16384,1354.6352,8,384,64,0,132,NVIDIA H100,4096,16,128,132,1830,3352.32,8820,128,33621540864.0,62184.72727272727,301989888.0,73728.0,4104448.0,2136783.228433965,812152.0580888605,37632.0,2586050.1318862755,301056.0,982910.15625,0.0250847794931383,0.21802582,7.6915555
12,16384,6656,260.3152,16,16,128,1,1024,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,3489660928.0,23999.098591549297,27262976.0,26624.0,213200.0,530546.9036102295,80512.96671922547,3328.0,1176002.5024414062,26624.0,178463.8637912978,0.0368033771353359,0.31927606,7.6751823
2,16384,13312,143.0364,8,128,64,0,128,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,3489660928.0,6454.30303030303,27262976.0,6656.0,426192.0,221876.34432029063,84331.12319634885,3536.0,242991.95541958627,28288.0,92356.77913743624,0.0246576504065655,0.213498,7.6584864
2,25600,5120,313.086,16,16,128,1,1600,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4194304000.0,28845.070422535213,31457280.0,30720.0,256160.0,637452.6023864746,96736.40504126078,3840.0,1356925.9643554688,30720.0,205919.8428361129,0.0367790261227546,0.3169695,7.6182117
16,7168,18432,316.0298,16,16,128,1,448,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4227858432.0,29075.83098591549,37748736.0,36864.0,258624.0,643584.2514038086,97666.91137332536,4608.0,1628311.1572265625,36864.0,247103.81140333545,0.0367279229934964,0.3162211,7.6098247
6,26624,16384,1226.7001,16,16,128,1,1664,NVIDIA L20,516,16,128,92,2520,864.096,4011,128,13958643712.0,294039.51196494774,159383552.0,308882.8527131783,852480.0,2370952.3811590383,510777.9777486911,19456.0,4978288.002721921,155648.0,1072480.3664921464,0.095118885225359,0.8158587,7.577252
4,7168,18432,314.6666,16,16,128,1,448,NVIDIA RTX 6000 Ada Generation,1024,16,128,142,2505,960.0,6326,128,4227858432.0,29075.83098591549,37748736.0,36864.0,258624.0,643584.2514038086,97666.91137332536,4608.0,1628311.1572265625,36864.0,247103.81140333545,0.0368870358597007,0.3162211,7.5726876
24,16384,53248,581.362,24,256,64,1,128,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,41875931136.0,77451.63636363637,327155712.0,79872.0,1706432.0,888371.6587621594,337653.7504650298,14560.0,1000555.1105512376,116480.0,380292.6199776786,0.0728002493444087,0.61704636,7.475881
20,16384,53248,581.304,24,256,64,1,128,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,41875931136.0,77451.63636363637,327155712.0,79872.0,1706432.0,888371.6587621594,337653.7504650298,14560.0,1000555.1105512376,116480.0,380292.6199776786,0.0728075130385549,0.61704636,7.475036
4,106496,16384,1185.7238000000002,8,320,64,0,132,NVIDIA H800,4096,16,128,132,1830,3352.32,8820,128,27934064640.0,51665.454545454544,251658240.0,61440.0,3410176.0,1775343.939747324,674775.623139881,31488.0,2163837.865455863,251904.0,822435.0286989796,0.0238103416855196,0.2017052,7.4713244
