seq,dim,avg_duration,hardware,tc_bf16,xu_fp32,fma_fp32,num_sms,sm_freq,mem_bandwidth,l2_cache_bandwidth,shared_memory_bandwidth,fma_all_ops,fma_all_cycle,fma_sm_max_ops,fma_sm_max_cycle,xu_all_ops,xu_all_cycle,xu_sm_max_ops,xu_sm_max_cycle,global_in_flight,global_cycle,local_cycle,sm_max_in_flight,sm_max_global_cycle,sm_max_shared_cycle,sm_max_local_cycle,overall_perf,predicted,rel_error
2,128,1.8836000000000004,NVIDIA H20,1024,16,128,78,1830,4022.784,8815,128,164.917476,0.0165181766826923,82.458738,0.644208890625,10.000002,0.0080128221153846,5.000000999999999,0.3125000624999999,0.5,0.216917438150226,0.0989917186059805,0.25,8.459780087858812,2.0,3.860677025633242,7.116647576979356e-06,1.7085546e-05,1.39882
131072,16384,11719.4558,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,584269478.756352,24279.815440340422,3111420.411468,24307.971964593748,20971524.194304,6971.916287999999,111680.02233599998,6980.001395999999,4194304.0,5223214.285714285,1257388.5008060185,22336.0,5229271.480015346,178688.0,1258846.6539746777,0.001139595655077,0.0025929469,1.2753106
117249,16384,10482.614733333334,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,522651764.79113394,21719.23889590816,2781556.356384,21730.90903425,18759843.751968,6236.650183499999,99840.01996799998,6240.001247999999,3751968.0,4672368.253980364,1124782.9004745854,19968.0,4674878.801618304,159744.0,1125387.2665905426,0.0011396928580286,0.0025891785,1.2718102
97281,16384,8691.624199999998,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,433641961.386846,18020.3607624188,2309048.385588,18039.440512406247,15564963.112991998,5174.522311499999,82880.016576,5180.001036,3112992.0,3876644.2026410783,933227.6210549184,16576.0,3880748.748779297,132608.0,934215.7116889444,0.0011404477420897,0.0025699658,1.2534598
92673,16384,8278.279199999999,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,413101237.524318,17166.77350084433,2197607.826438,17168.811144046875,14827682.965535998,4929.415879499999,78880.01577599999,4930.000985999999,2965536.0,3693015.575408936,889022.5565734569,15776.0,3693453.924996513,126208.0,889128.0808159256,0.0011406737736637,0.002565796,1.2493579
83457,16384,7454.5205333333315,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,372019789.799262,15459.598977695396,1979184.330504,15462.377582062498,13353122.670623995,4439.203015499999,71040.014208,4440.000888,2670624.0,3325758.3209446496,800612.4276105337,14208.0,3326356.0703822547,113664.0,800756.3243048092,0.0011407523123088,0.0025552693,1.2399751
81921,16384,7319.740466666666,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,365172881.845086,15175.069890503906,1943523.351576,15183.776184187498,13107362.621471995,4357.500871499999,69760.013952,4360.000872,2621472.0,3264548.7785339355,785877.4061167131,13952.0,3266421.7267717635,111616.0,786328.2824254434,0.0011403754682843,0.002553124,1.2388341
75777,16384,6767.6234,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,337785250.02838194,14036.953541737948,1800879.435864,14069.3705926875,12124322.424863998,4030.692295499999,64640.01292799999,4040.0008079999993,2424864.0,3019710.6088910783,726937.3201414311,12928.0,3026684.3523297994,103424.0,728616.1149079796,0.0011409051174094,0.002544081,1.2298689
72705,16384,6492.147533333334,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,324091434.12003,13467.89536735497,1725099.8556419995,13477.342622203125,11632802.326559998,3867.2880075,61920.012384,3870.000774,2326560.0,2897291.5240696496,697467.27715379,12384.0,2899323.8721575057,99072.0,697956.525914327,0.0011411013051391,0.0025411497,1.2269166
71169,16384,6356.8172,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,317244526.165854,13183.36628016348,1689438.8767139998,13198.741224328123,11387042.277407998,3785.5858635,60640.01212799999,3790.000757999999,2277408.0,2836081.9816589355,682732.2556599694,12128.0,2839389.5285470146,97024.0,683528.4840349611,0.0011407735541433,0.0025386878,1.2253983
69633,16384,6219.255266666668,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,310397618.211678,12898.83719297199,1653777.8977859998,12920.139826453124,11141282.228255998,3703.8837195,59360.01187199999,3710.0007419999993,2228256.0,2774872.439248221,667997.2341661488,11872.0,2779455.1849365234,94976.0,669100.442155595,0.0011408407555085,0.0025350389,1.2220689
65536,16384,5851.211800000001,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,292134739.378176,12139.907720170211,1555710.2057339998,12153.985982296874,10485762.097151998,3485.958144,55840.01116799999,3490.0006979999994,2097152.0,2611607.1428571427,628694.2504030092,11168.0,2614635.740007673,89344.0,629423.3269873388,0.0011412542705723,0.002527233,1.2144239
54273,16384,4842.136733333333,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,241928538.669918,10053.546321057096,1288252.863774,10064.475498234377,8683681.736736,2886.8622795,46240.009248,2890.000578,1736736.0,2162777.0151410783,520647.0192279437,9248.0,2165128.16292899,73984.0,521213.0128920943,0.0011420762052149,0.002505674,1.1939535
51201,16384,4570.735599999999,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,228234722.761566,9484.48814667412,1216930.9059179998,9507.272702484372,8192161.638431999,2723.4579914999995,43680.008736,2730.000546,1638432.0,2040357.9303196496,491176.9762403026,8736.0,2045259.475708008,69888.0,492356.9291333624,0.001141407304159,0.00249848,1.1889365
41985,16384,3742.7511333333327,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,187153275.03651,7777.313623525182,998507.409984,7800.839140499999,6717601.343519999,2233.2451274999994,35840.007168,2240.000448,1343520.0,1673100.6758553642,402766.84727737936,7168.0,1678161.62109375,57344.0,403985.1726222461,0.0011430138974955,0.0024839267,1.1731274
37377,16384,3329.764533333333,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,166612551.173982,6923.726361950715,887066.8508339999,6930.209772140624,5980321.196063999,1988.1386955,31840.006367999995,1990.000398,1196064.0,1489472.0486232212,358561.7827959178,6368.0,1490866.7973109654,50944.0,358897.5417492276,0.0011437713696164,0.0024720046,1.161265
29697,16384,2643.3330666666666,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,132378011.403102,5501.080925993268,704304.3338279999,5502.377608031249,4751520.950304,1579.6279754999998,25280.005055999995,1580.0003159999997,950304.0,1183424.33656965,284886.6753268152,5056.0,1183703.2863071987,40448.0,284953.8271174772,0.0011447456293553,0.0024359168,1.1279012
28161,16384,2507.4138666666668,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,125531103.448926,5216.551838801778,668643.3548999999,5223.776210156249,4505760.901151999,1497.9258314999995,24000.004799999995,1500.0002999999997,901152.0,1122214.7941589355,270151.6538329947,4800.0,1123768.9426967078,38400.0,270525.7852381112,0.0011443802477063,0.0024257863,1.1197283
27009,16384,2402.3450666666668,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,120395922.483294,5003.1550234081615,641897.6207039999,5014.825161749999,4321440.864287999,1436.6492234999998,23040.004608,1440.0002879999995,864288.0,1076307.6373509,259100.3877126293,4608.0,1078818.184988839,36864.0,259704.7538285868,0.0011455694417737,0.002417787,1.1105449
18561,16384,1650.5376666666666,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,82737928.73532599,3438.24504385497,441304.614234,3447.692298703125,2969760.593952,987.2874315,15840.003167999996,990.0001979999998,593952.0,739655.1540919712,178057.76949661638,3168.0,741687.5021798271,25344.0,178547.01825715342,0.0011458406753089,0.0024094584,1.102777
18945,16384,1683.5722,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,84449655.72387,3509.3773156528423,450219.858966,3517.3426481718748,3031200.60624,1007.7129675,16160.003231999995,1010.0002019999998,606240.0,754957.5396946499,181741.5248700716,3232.0,756671.0880824499,25856.0,182154.0287269949,0.0011465979676344,0.0024096188,1.1015279
17793,16384,1581.2552,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,79314474.75823799,3295.9805002592248,423474.12477,3308.3915997656245,2846880.569376,946.4363595,15200.003039999998,950.00019,569376.0,709050.3828866141,170690.25874970615,3040.0,711720.3303745815,24320.0,171332.99731747046,0.0011465566456425,0.002409078,1.1011319
25089,16384,2232.034066666667,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,111837287.54057398,4647.493664418799,597321.397044,4666.57341440625,4014240.802848,1334.5215434999998,21440.004288,1340.0002679999998,802848.0,999795.709337507,240681.61084535363,4288.0,1003900.2554757256,34304.0,241669.70147937932,0.0011453305277453,0.0024035857,1.0985862
15873,16384,1411.2111333333337,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,70755839.81551799,2940.3191412698634,378897.90111,2960.139852421875,2539680.5079359994,844.3086794999998,13600.00272,850.0001699999999,507936.0,632538.4548732212,152271.4818824305,2720.0,636802.4008614677,21760.0,153297.94496826304,0.0011460810351942,0.0024039552,1.0975343
23937,16384,2129.879266666668,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,106702106.574942,4434.096849025183,570575.662848,4457.622366,3829920.7659839992,1273.2449354999997,20480.004096,1280.0002559999998,765984.0,953888.5525294712,229630.34472498824,4096.0,958949.4977678572,32768.0,230848.6700698549,0.0011451517411449,0.002398907,1.094828
14337,16384,1274.2593333333332,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,63908931.861342,2655.7900540783744,343236.92218199995,2681.5384545468746,2293920.458784,762.6065354999998,12320.002463999996,770.0001539999998,458784.0,571328.912462507,137536.46038860994,2464.0,576868.0572509766,19712.0,138869.9030888971,0.0011464332300302,0.0023874615,1.0825031
13569,16384,1204.0193333333334,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,60485477.88425399,2513.525510482629,325406.432718,2542.2377556093747,2171040.434208,721.7554634999999,11680.002335999998,730.0001459999999,434208.0,540724.1412571499,130168.9496416997,2336.0,546900.885445731,18688.0,131655.88214921413,0.0011483193571339,0.002374041,1.0673954
10113,16384,895.2912666666667,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,45079934.987358,1873.3350643017784,240711.607764,1880.55943565625,1618080.3236159997,537.9256394999999,8640.001728,540.000108,323616.0,403002.6708330427,97015.1512806035,1728.0,404556.8193708148,13824.0,97389.28268572004,0.0011509698916862,0.0023740635,1.0626541
13185,16384,1168.6890666666666,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,58773750.89570999,2442.393238684757,316491.187986,2472.587406140625,2109600.42192,701.3299274999998,11360.002271999998,710.0001419999999,421920.0,525421.7556544712,126485.19426824457,2272.0,531917.2995431083,18176.0,128048.87167937263,0.0011495542115169,0.0023657302,1.0579454
8961,16384,793.4820666666668,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,39944754.021726,1659.9382489081615,213965.873568,1671.60838725,1433760.2867519998,476.6490314999999,7680.001535999999,480.0000959999999,286752.0,357095.51402500697,85963.88516023812,1536.0,359606.0616629464,12288.0,86568.25127619559,0.0011507147114107,0.002363532,1.0539596
7137,16384,626.2924,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,31814050.826142,1322.059957868268,169389.649908,1323.35663990625,1141920.2283839998,379.6277354999999,6080.001215999999,380.0000759999999,228384.0,284409.1824122837,68466.04713632623,1216.0,284688.1321498326,9728.0,68533.19892698819,0.0011611460764618,0.002366284,1.0378776
7233,16384,633.6288666666666,NVIDIA RTX PRO 6000 Blackwell Server Edition,1024,16,128,188,2340,1792.0,7444,128,32241982.573278,1339.843025817736,173847.272274,1358.181814640625,1157280.231456,384.7341195,6240.001247999999,390.0000779999999,231456.0,288234.7788129534,69386.98597969003,1248.0,292179.925101144,9984.0,70336.70416190891,0.0011631395266561,0.0023272817,1.0008535
124,128,2.5918666666666668,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,10224.883512,0.5397425840371621,82.458738,0.644208890625,620.0001239999999,0.2618243766891892,5.000000999999999,0.3125000624999999,31.0,7.051575529921401,3.50491992548112,0.25,8.41639660022877,2.0,4.183291523961336,0.0001689958585719,1e-09,0.9999349
122,128,2.5812000000000004,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,10059.966036,0.5310370584881756,82.458738,0.644208890625,610.0001219999999,0.2576014028716216,5.000000999999999,0.3125000624999999,30.5,6.93784044072912,3.4483889589411016,0.25,8.41639660022877,2.0,4.183291523961336,0.0001669572210154,1e-09,0.99993414
104,128,2.579066666666668,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,8575.708752,0.4526873285472973,82.458738,0.644208890625,520.000104,0.2195946385135135,5.000000999999999,0.3125000624999999,26.0,5.914224637998594,2.939610260080939,0.25,8.41639660022877,2.0,4.183291523961336,0.0001424419150785,1e-09,0.99992275
102,128,2.5684,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,8410.791276,0.4439818029983108,82.458738,0.644208890625,510.0001019999999,0.2153716646959459,5.000000999999999,0.3125000624999999,25.5,5.800489548806314,2.883079293540921,0.25,8.41639660022877,2.0,4.183291523961336,0.0001402828380949,1e-09,0.99992156
99,128,2.598266666666667,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,8163.415062,0.4309235146748311,82.458738,0.644208890625,495.0000989999999,0.2090372039695945,5.000000999999999,0.3125000624999999,24.75,5.6298869150178925,2.7982828437308944,0.25,8.41639660022877,2.0,4.183291523961336,0.0001345917704372,1e-09,0.9999183
90,128,2.5428,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,7421.286419999999,0.3917486497043919,82.458738,0.644208890625,450.00009,0.1900338217905405,5.000000999999999,0.3125000624999999,22.5,5.11807901365263,2.5438934943008125,0.25,8.41639660022877,2.0,4.183291523961336,0.0001250251371911,1e-09,0.999912
89,128,2.5512666666666672,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,7338.827682,0.3873958869298987,82.458738,0.644208890625,445.000089,0.1879223348817567,5.000000999999999,0.3125000624999999,22.25,5.06121146905649,2.515628011030804,0.25,8.41639660022877,2.0,4.183291523961336,0.000123225669069,1e-09,0.9999107
86,128,2.5897333333333337,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,7091.451467999999,0.3743375986064189,82.458738,0.644208890625,430.000086,0.1815878741554054,5.000000999999999,0.3125000624999999,21.5,4.890608835268068,2.4308315612207765,0.25,8.41639660022877,2.0,4.183291523961336,0.0001173033560773,1e-09,0.9999063
83,128,2.587600000000001,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,6844.075253999999,0.3612793102829391,82.458738,0.644208890625,415.000083,0.175253413429054,5.000000999999999,0.3125000624999999,20.75,4.720006201479647,2.3460351114107496,0.25,8.41639660022877,2.0,4.183291523961336,0.0001133047150706,1e-09,0.99990296
80,128,2.5641333333333334,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,6596.69904,0.3482210219594594,82.458738,0.644208890625,400.0000799999999,0.1689189527027026,5.000000999999999,0.3125000624999999,20.0,4.549403567691227,2.2612386616007227,0.25,8.41639660022877,2.0,4.183291523961336,0.0001102088360285,1e-09,0.9999003
75,128,2.557666666666667,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,6184.40535,0.3264572080869932,82.458738,0.644208890625,375.0000749999999,0.1583615181587837,5.000000999999999,0.3125000624999999,18.75,4.2650658447105245,2.119911245250677,0.25,8.41639660022877,2.0,4.183291523961336,0.0001035820144825,1e-09,0.99989384
72,128,2.5684,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,5937.029136,0.3133989197635135,82.458738,0.644208890625,360.00007199999993,0.1520270574324324,5.000000999999999,0.3125000624999999,18.0,4.094463210922103,2.03511479544065,0.25,8.41639660022877,2.0,4.183291523961336,9.902317983170528e-05,1e-09,0.999889
71,128,2.5684,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,5854.570398,0.3090461569890202,82.458738,0.644208890625,355.00007099999993,0.1499155705236486,5.000000999999999,0.3125000624999999,17.75,4.037595666325963,2.006849312170641,0.25,8.41639660022877,2.0,4.183291523961336,9.764785788959826e-05,1e-09,0.9998874
67,128,2.5748,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,5524.735446,0.2916351058910473,82.458738,0.644208890625,335.00006699999994,0.1414696228885135,5.000000999999999,0.3125000624999999,16.75,3.8101254879414026,1.8937873790906048,0.25,8.41639660022877,2.0,4.183291523961336,9.191752784651762e-05,1e-09,0.99988043
64,128,2.5684,NVIDIA B200,8192,16,128,148,1830,7672.32,15436,128,5277.359232,0.2785768175675676,82.458738,0.644208890625,320.00006399999995,0.1351351621621621,5.000000999999999,0.3125000624999999,16.0,3.6395228541529816,1.808990929280578,0.25,8.41639660022877,2.0,4.183291523961336,8.802060429484915e-05,1e-09,0.9998751
2,128,1.9176666666666669,NVIDIA RTX A6000,1024,16,128,84,1800,768.0,2700,128,164.917476,0.0153383069196428,82.458738,0.644208890625,10.000002,0.0074404776785714,5.000000999999999,0.3125000624999999,0.5,1.1175870895385742,0.3178914388020833,0.25,46.93865776062012,2.0,13.351440429687498,6.599103249960682e-06,1e-09,0.99833566
